Date,Tweets,Airstrikes,Iraq,Syria,Events
1/1/2014,0,,,,
1/2/2014,0,,,,
1/3/2014,12,,,,
1/4/2014,0,,,,
1/5/2014,4,,,,
1/6/2014,0,,,,
1/7/2014,0,,,,
1/8/2014,0,,,,
1/9/2014,0,,,,
1/10/2014,2,,,,
1/11/2014,4,,,,
1/12/2014,12,,,,
1/13/2014,8,,,,
1/14/2014,0,,,,
1/15/2014,14,,,,
1/16/2014,20,,,,
1/17/2014,10,,,,
1/18/2014,16,,,,
1/19/2014,18,,,,
1/20/2014,8,,,,
1/21/2014,10,,,,
1/22/2014,30,,,,
1/23/2014,2,,,,
1/24/2014,0,,,,
1/25/2014,4,,,,
1/26/2014,6,,,,
1/27/2014,16,,,,
1/28/2014,2,,,,
1/29/2014,18,,,,
1/30/2014,18,,,,
1/31/2014,0,,,,
2/1/2014,8,,,,
2/2/2014,8,,,,
2/3/2014,0,,,,
2/4/2014,0,,,,
2/5/2014,0,,,,
2/6/2014,0,,,,
2/7/2014,4,,,,
2/8/2014,20,,,,
2/9/2014,2,,,,
2/10/2014,0,,,,
2/11/2014,0,,,,
2/12/2014,6,,,,
2/13/2014,0,,,,
2/14/2014,0,,,,
2/15/2014,4,,,,
2/16/2014,8,,,,
2/17/2014,2,,,,
2/18/2014,2,,,,
2/19/2014,0,,,,
2/20/2014,8,,,,
2/21/2014,2,,,,
2/22/2014,6,,,,
2/23/2014,6,,,,
2/24/2014,12,,,,
2/25/2014,38,,,,
2/26/2014,16,,,,
2/27/2014,48,,,,
2/28/2014,6,,,,
3/1/2014,18,,,,
3/2/2014,10,,,,
3/3/2014,10,,,,
3/4/2014,8,,,,
3/5/2014,30,,,,
3/6/2014,32,,,,
3/7/2014,4,,,,
3/8/2014,10,,,,
3/9/2014,20,,,,
3/10/2014,20,,,,
3/11/2014,16,,,,
3/12/2014,12,,,,
3/13/2014,2,,,,
3/14/2014,24,,,,
3/15/2014,12,,,,
3/16/2014,2,,,,
3/17/2014,22,,,,
3/18/2014,36,,,,
3/19/2014,16,,,,
3/20/2014,26,,,,
3/21/2014,6,,,,
3/22/2014,22,,,,
3/23/2014,12,,,,
3/24/2014,52,,,,
3/25/2014,8,,,,
3/26/2014,12,,,,
3/27/2014,16,,,,
3/28/2014,36,,,,
3/29/2014,18,,,,
3/30/2014,18,,,,
3/31/2014,10,,,,
4/1/2014,0,,,,
4/2/2014,0,,,,
4/3/2014,0,,,,
4/4/2014,0,,,,
4/5/2014,0,,,,
4/6/2014,0,,,,
4/7/2014,0,,,,
4/8/2014,0,,,,
4/9/2014,0,,,,
4/10/2014,0,,,,
4/11/2014,0,,,,
4/12/2014,0,,,,
4/13/2014,0,,,,
4/14/2014,0,,,,
4/15/2014,22,,,,
4/16/2014,0,,,,
4/17/2014,4,,,,
4/18/2014,24,,,,
4/19/2014,24,,,,
4/20/2014,4,,,,
4/21/2014,18,,,,
4/22/2014,6,,,,
4/23/2014,2,,,,
4/24/2014,12,,,,
4/25/2014,0,,,,
4/26/2014,16,,,,
4/27/2014,6,,,,
4/28/2014,10,,,,
4/29/2014,102,,,,
4/30/2014,30,,,,
5/1/2014,10,,,,
5/2/2014,24,,,,
5/3/2014,24,,,,
5/4/2014,10,,,,
5/5/2014,24,,,,
5/6/2014,6,,,,
5/7/2014,24,,,,
5/8/2014,20,,,,
5/9/2014,6,,,,
5/10/2014,6,,,,
5/11/2014,0,,,,
5/12/2014,10,,,,
5/13/2014,0,,,,
5/14/2014,4,,,,
5/15/2014,0,,,,
5/16/2014,12,,,,
5/17/2014,0,,,,
5/18/2014,2,,,,
5/19/2014,0,,,,
5/20/2014,6,,,,
5/21/2014,8,,,,
5/22/2014,22,,,,
5/23/2014,40,,,,
5/24/2014,42,,,,
5/25/2014,0,,,,
5/26/2014,70,,,,
5/27/2014,6,,,,
5/28/2014,10,,,,
5/29/2014,12,,,,
5/30/2014,14,,,,
5/31/2014,34,,,,
6/1/2014,6,,,,
6/2/2014,4,,,,
6/3/2014,8,,,,
6/4/2014,20,,,,
6/5/2014,22,,,,
6/6/2014,18,,,,
