Id,Label,screen_name,weight,In-Degree,Out-Degree,Degree,Modularity Class,Clustering Coefficient,Eigenvector Centrality
51318201,ServeMuslims,ServeMuslims,1,1,1,2,1,0,5.72E-04
57516099,AbuDujanah,AbuDujanah,1,1,1,2,1,0,5.72E-04
2380333148,waheebalshami,waheebalshami,1,1,0,1,4,0,0.010908848
2151120994,d3b_0,d3b_0,1,4,1,5,4,0.8333333,0.103696894
23330998,hxhassan,hxhassan,1,0,3,3,4,0.8333333,0
2425258317,AJundul,AJundul,1,1,0,1,4,0,0.010908848
2410709344,AbuRayanMuhajir,AbuRayanMuhajir,1,2,7,9,4,0.54761904,0.043853294
1194295681,sabranyanafsi3,sabranyanafsi3,1,2,0,2,4,0,0.035619863
2794160596,AadilIbnSy,AadilIbnSy,1,5,0,5,4,0.55,0.147298159
14942730,raffpantucci,raffpantucci,1,4,1,5,4,0.8333333,0.143527913
2320794146,R76315,R76315,1,5,0,5,4,0.7,0.168238927
2765892374,abdirahmana70,abdirahmana70,1,2,0,2,4,1,0.0598436
1943929622,Newsistan,Newsistan,1,1,0,1,4,0,0.010908848
48956231,zaidbenjamin,zaidbenjamin,1,1,4,5,4,0.6666667,0.024711015
2596537351,0AbuRuqayyah0,0AbuRuqayyah0,1,5,0,5,4,0.7,0.145309035
2269479971,HalimKakon,HalimKakon,1,5,0,5,4,0.65,0.129765877
2821620829,AbuSumayyah507,AbuSumayyah507,1,2,0,2,4,0.5,0.044300441
2223146256,IslamicFront_En,IslamicFront_En,1,0,4,4,4,0.6666667,0
2221671723,sami10666428,sami10666428,1,4,0,4,4,0.8333333,0.103696894
1452246433,YacineAlBachir,YacineAlBachir,1,3,0,3,4,0.8333333,0.071663268
2567505337,abja78,abja78,1,0,4,4,4,0.8333333,0
2659091942,whiteminaret,whiteminaret,1,4,0,4,4,0.5,0.119304176
1192035883,AbuCeEs,AbuCeEs,1,6,0,6,4,0.73333335,0.178700628
