_id,entity_ids,entity
ObjectID(54446950474d79458e26f56d),"[ { ""$oid"" : ""54446950474d79458e26f56c"" }, { ""$oid"" : ""5444c405474d79458e27333d"" } ]","isi"
ObjectID(54446950474d79458e26f56f),"[ { ""$oid"" : ""54446950474d79458e26f56e"" } ]","japanes"
ObjectID(54446951474d79458e26f572),"[ { ""$oid"" : ""54446951474d79458e26f571"" } ]","memlikpasha"
ObjectID(54446951474d79458e26f575),"[ { ""$oid"" : ""54446951474d79458e26f574"" } ]","sgiunchi48"
ObjectID(54446951474d79458e26f577),"[ { ""$oid"" : ""54446951474d79458e26f576"" }, { ""$oid"" : ""54449fd6474d79458e271b10"" } ]","allah"
ObjectID(54446951474d79458e26f57a),"[ { ""$oid"" : ""54446951474d79458e26f579"" } ]","kobani"
ObjectID(54446951474d79458e26f57c),"[ { ""$oid"" : ""54446951474d79458e26f57b"" } ]","kurdish"
ObjectID(54446951474d79458e26f57e),"[ { ""$oid"" : ""54446951474d79458e26f57d"" } ]","islamicst"
ObjectID(54446951474d79458e26f580),"[ { ""$oid"" : ""54446951474d79458e26f57f"" } ]","islamicthink"
ObjectID(54446951474d79458e26f582),"[ { ""$oid"" : ""54446951474d79458e26f581"" } ]","pkk"
ObjectID(54446951474d79458e26f585),"[ { ""$oid"" : ""54446951474d79458e26f584"" } ]","ayn al arab"
ObjectID(54446951474d79458e26f588),"[ { ""$oid"" : ""54446951474d79458e26f587"" } ]","khattab"
ObjectID(54446951474d79458e26f58a),"[ { ""$oid"" : ""54446951474d79458e26f589"" } ]","islamic st"
ObjectID(54446951474d79458e26f58d),"[ { ""$oid"" : ""54446951474d79458e26f58c"" } ]","rutba"
ObjectID(54446951474d79458e26f58f),"[ { ""$oid"" : ""54446951474d79458e26f58e"" } ]","tawhe"
ObjectID(54446951474d79458e26f591),"[ { ""$oid"" : ""54446951474d79458e26f590"" } ]","anbar"
ObjectID(54446951474d79458e26f594),"[ { ""$oid"" : ""54446951474d79458e26f593"" } ]","syrian"
ObjectID(54446951474d79458e26f597),"[ { ""$oid"" : ""54446951474d79458e26f596"" } ]","syria"
ObjectID(54446951474d79458e26f599),"[ { ""$oid"" : ""54446951474d79458e26f598"" } ]","turkish"
ObjectID(54446951474d79458e26f59c),"[ { ""$oid"" : ""54446951474d79458e26f59b"" }, { ""$oid"" : ""544506cb474d79458e278683"" } ]","terrorist"
ObjectID(54446951474d79458e26f59e),"[ { ""$oid"" : ""54446951474d79458e26f59d"" } ]","bagcilar"
